polity_code,polity_name,polity_type,continent,start_year,end_year,iso3_code,node_type,in_degree,out_degree,total_degree
KOR-1948-2025,South Korea,sovereign,Asia,1948,2025,KOR,polity,2,1,3
IND-1949-2025,India,sovereign,Asia,1949,2025,IND,polity,5,1,6
KHM-1953-2025,Cambodia,sovereign,Asia,1953,2025,KHM,polity,2,1,3
LAO-1954-2025,Laos,sovereign,Asia,1954,2025,LAO,polity,2,1,3
MYS-1965-2025,Malaysia,sovereign,Asia,1965,2025,MYS,polity,5,1,6
SGP-1965-2025,Singapore,sovereign,Asia,1965,2025,SGP,polity,2,1,3
SYR-1967-2025,Syrian Arab Republic,sovereign,Asia,1967,2025,SYR,polity,6,1,7
BGD-1971-2025,Bangladesh,sovereign,Asia,1971,2025,BGD,polity,3,1,4
PAK-1971-2025,Pakistan,sovereign,Asia,1971,2025,PAK,polity,4,1,5
ARE-1971-2025,United Arab Emirates,sovereign,Asia,1971,2025,ARE,polity,2,1,3
VNM-1975-2025,Vietnam,sovereign,Asia,1975,2025,VNM,polity,2,1,3
ISR-1979-2025,Israel,sovereign,Asia,1979,2025,ISR,polity,5,1,6
ARM-1991-2025,Armenia,sovereign,Asia,1991,2025,ARM,polity,4,1,5
AZE-1991-2025,Azerbaijan,sovereign,Asia,1991,2025,AZE,polity,4,1,5
GEO-1991-2025,Georgia,sovereign,Asia,1991,2025,GEO,polity,4,1,5
KAZ-1991-2025,Kazakhstan,sovereign,Asia,1991,2025,KAZ,polity,3,1,4
KGZ-1991-2025,Kyrgyzstan,sovereign,Asia,1991,2025,KGZ,polity,3,1,4
TJK-1991-2025,Tajikistan,sovereign,Asia,1991,2025,TJK,polity,3,1,4
TKM-1991-2025,Turkmenistan,sovereign,Asia,1991,2025,TKM,polity,3,1,4
UZB-1991-2025,Uzbekistan,sovereign,Asia,1991,2025,UZB,polity,3,1,4
SAU-2000-2025,Saudi Arabia,sovereign,Asia,2000,2025,SAU,polity,5,1,6
YEM-2000-2025,Yemen,sovereign,Asia,2000,2025,YEM,polity,5,1,6
IDN-2002-2025,Indonesia,sovereign,Asia,2002,2025,IDN,polity,5,1,6
ABU-1800-1971,Abu Dhabi,historical,Asia,1800,1971,ABU,polity,0,1,1
AFG-1800-1888,Afghanistan (to 1888),historical,Asia,1800,1888,AFG,polity,0,1,1
AFG-1800-1893,Afghanistan (to 1893),historical,Asia,1800,1893,AFG,polity,0,1,1
AJM-1800-1971,Ajman,historical,Asia,1800,1971,AJM,polity,0,1,1
BAD-1800-1873,Badakhshan,historical,Asia,1800,1873,BAD,polity,0,2,2
BUK-1800-1920,Bukhara,historical,Asia,1800,1920,BUK,polity,0,1,1
BOK-1800-1920,Bukhara (to 1920),historical,Asia,1800,1920,BOK,polity,0,1,1
CAM-1800-1904,Cambodia (to 1904),historical,Asia,1800,1904,CAM,polity,0,4,4
CHN-1800-1895,China (to 1895),historical,Asia,1800,1895,CHN,polity,27,4,31
DAN-1800-1845,Danish India,historical,Asia,1800,1845,DAN,polity,1,1,2
HER-1800-1862,Herat,historical,Asia,1800,1862,HER,polity,0,1,1
