"year","country","iso_draft","polity_name","FAOSTAT_name","item","item_code","value","unit","area_code","region","region_UN","iso3c","polity_code","Source","source_file","sheet"
1903,"Austria","AUT","Austria","Austria","Beer of barley",51,1538160,"tonnes",11,"OECD Europe","Europe","AUT","AUT","mitchell","mitchell_beer_4203-4219.xlsx","page_4206_table_1"
1903,"Barbados","BRB","Barbados","Barbados","Sugar Raw Centrifugal",162,65000,"tonnes",14,"Central America","Americas","BRB","BRB","mitchell","page401-450.xlsx","page_36_table_1"
1903,"Belgium","BEL","Belgium","Belgium","Beer of barley",51,1184320,"tonnes",255,"OECD Europe","Europe","BEL","BEL","mitchell","mitchell_beer_4203-4219.xlsx","page_4206_table_1"
1903,"Botswana","BWA","Botswana","Botswana","Cattle",866,139000,"heads",20,"Southern Africa","Africa","BWA","BWA","mitchell","page201-250.xlsx","page_33_table_1"
1903,"Brazil","BRA","Brazil","Brazil","Cacao, beans",661,21000,"tonnes",21,"South America","Americas","BRA","BRA","mitchell","page451-500.xlsx","page_33_table_1"
1903,"Brazil","BRA","Brazil","Brazil","Coffee, green",656,699000,"tonnes",21,"South America","Americas","BRA","BRA","mitchell","page451-500.xlsx","page_33_table_1"
1903,"Brazil","BRA","Brazil","Brazil","Sugar Raw Centrifugal",162,199000,"tonnes",21,"South America","Americas","BRA","BRA","mitchell","page401-450.xlsx","page_49_table_2"
1903,"Bulgaria","BGR","Bulgaria","Bulgaria","Beer of barley",51,4880,"tonnes",27,"Eastern Europe","Europe","BGR","BGR","mitchell","mitchell_beer_4203-4219.xlsx","page_4206_table_1"
1903,"Cameroon","CMR","Cameroon","Cameroon","Cacao, beans",661,1100,"tonnes",32,"Western Africa","Africa","CMR","CMR","mitchell","page151-200.xlsx","page_11_table_1"
1903,"Canada","CAN","Canada","Canada","Beer of barley",51,99360,"tonnes",33,"Canada","Americas","CAN","CAN","mitchell","mitchell_beer_2746-2755.xlsx","page_2748_table_1"
1903,"Canada","CAN","Canada","Canada","Marine fish, Other",NA,2e+05,"tonnes",33,"Canada","Americas","CAN","CAN","mitchell","page551-593.xlsx","page_37_table_1"
